Title,Runtime,User Rating,Metascore,Votes,Imdb Gross,Genre
Madagascar 3: Europe's Most Wanted,93 min,6.8,60        ,171687,"216,391,482",Animation
Kung Fu Panda,92 min,7.6,74        ,440257,"215,434,591",Animation
Mission: Impossible II,123 min,6.1,59        ,326604,"215,409,889",Action
A Star Is Born,136 min,7.6,88        ,357892,"215,288,866",Drama
X2: X-Men United,134 min,7.4,68        ,528955,"214,949,694",Action
The Lorax,86 min,6.4,46        ,105152,"214,030,500",Animation
Solo: A Star Wars Story,135 min,6.9,62        ,314854,"213,767,512",Action
Venom,112 min,6.7,35        ,420402,"213,515,506",Action
Austin Powers in Goldmember,94 min,6.2,62        ,202553,"213,307,889",Action
It Chapter Two,169 min,6.5,58        ,233037,"211,593,228",Drama
300,117 min,7.6,52        ,759454,"210,614,939",Action
Fast Five,130 min,7.3,66        ,368024,"209,837,675",Action
Coco,105 min,8.4,81        ,436777,"209,726,015",Animation
Mission: Impossible - Ghost Protocol,132 min,7.4,73        ,471287,"209,397,903",Action
Wedding Crashers,119 min,6.9,64        ,342864,"209,218,368",Comedy
Sherlock Holmes,128 min,7.6,57        ,605115,"209,028,679",Action
Dawn of the Planet of the Apes,130 min,7.6,79        ,424172,"208,545,589",Action
Batman Begins,140 min,8.2,70        ,1366339,"206,852,432",Action
Charlie and the Chocolate Factory,115 min,6.6,72        ,449438,"206,459,076",Adventure
Ratatouille,111 min,8.0,96        ,672669,"206,445,654",Animation
Thor: The Dark World,112 min,6.8,54        ,631618,"206,362,140",Action
Bad Boys for Life,124 min,6.6,59        ,145302,"206,305,244",Action
The Amazing Spider-Man 2,142 min,6.5,53        ,438098,"202,853,933",Action
World War Z,116 min,7.0,63        ,628710,"202,359,711",Action
The Mummy Returns,130 min,6.4,48        ,311954,"202,019,785",Action
Cinderella,105 min,6.9,67        ,169340,"201,151,353",Adventure
Ralph Breaks the Internet,112 min,7.0,71        ,145386,"201,091,711",Animation
Tangled,100 min,7.7,71        ,424978,"200,821,936",Animation
Godzilla,123 min,6.4,62        ,399664,"200,676,069",Action
Superman Returns,154 min,6.0,72        ,276690,"200,081,192",Action
Spectre,148 min,6.8,60        ,410996,"200,074,175",Action
Pearl Harbor,183 min,6.2,44        ,321294,"198,542,554",Action
Monsters vs. Aliens,94 min,6.4,56        ,154259,"198,351,526",Animation
Happy Feet,108 min,6.4,77        ,177404,"198,000,317",Animation
Ice Age: Dawn of the Dinosaurs,94 min,6.9,50        ,233567,"196,573,705",Animation
Ice Age: The Meltdown,91 min,6.8,60        ,266270,"195,330,621",Animation
Mission: Impossible - Rogue Nation,131 min,7.4,75        ,355773,"195,042,377",Action
Madagascar,86 min,6.9,57        ,382003,"193,595,521",Animation
22 Jump Street,112 min,7.0,71        ,359308,"191,719,337",Action
Twilight,122 min,5.2,56        ,444439,"191,465,414",Drama
Cars 2,106 min,6.1,57        ,172834,"191,452,396",Animation
Teenage Mutant Ninja Turtles,101 min,5.8,31        ,205518,"191,204,754",Action
Men in Black II,88 min,6.2,49        ,357413,"190,418,803",Action
Spider-Man: Into the Spider-Verse,117 min,8.4,87        ,433013,"190,241,310",Animation
Wreck-It Ralph,101 min,7.7,72        ,397812,"189,422,889",Animation
Dunkirk,106 min,7.8,94        ,600306,"188,373,161",Action
A Quiet Place,90 min,7.5,82        ,484373,"188,024,361",Drama
Interstellar,169 min,8.6,74        ,1629050,"188,020,017",Adventure
Gladiator,155 min,8.5,67        ,1406206,"187,705,427",Action
The Croods,98 min,7.2,55        ,203003,"187,168,425",Animation
Sherlock Holmes: A Game of Shadows,129 min,7.5,48        ,435514,"186,848,418",Action
The Day After Tomorrow,124 min,6.4,47        ,430694,"186,740,799",Action
Mr. & Mrs. Smith,120 min,6.5,55        ,469174,"186,336,279",Action
Pitch Perfect 2,115 min,6.4,63        ,149337,"184,296,230",Comedy
The Revenant,156 min,8.0,76        ,747047,"183,637,894",Action
Ocean's Eleven,116 min,7.7,74        ,541479,"183,417,150",Crime
The Polar Express,100 min,6.6,61        ,188331,"183,373,735",Animation
The Simpsons Movie,87 min,7.3,80        ,318535,"183,135,014",Animation
What Women Want,127 min,6.4,47        ,201005,"182,811,707",Comedy
The Perfect Storm,130 min,6.4,59        ,162055,"182,618,434",Action
Lincoln,150 min,7.3,86        ,252823,"182,207,973",Biography
Jurassic Park III,92 min,5.9,42        ,305971,"181,171,875",Action
Thor,115 min,7.0,57        ,787385,"181,030,624",Action
Ant-Man,117 min,7.3,64        ,611161,"180,202,163",Action
Planet of the Apes,119 min,5.7,50        ,215180,"180,011,740",Action
Madagascar: Escape 2 Africa,89 min,6.6,61        ,215313,"180,010,950",Animation
X-Men Origins: Wolverine,107 min,6.6,40        ,483606,"179,883,157",Action
Hitch,118 min,6.6,58        ,305526,"179,495,555",Comedy
Men in Black 3,106 min,6.8,58        ,347443,"179,020,854",Action
Home,94 min,6.6,55        ,97566,"177,397,510",Animation
Night at the Museum: Battle of the Smithsonian,105 min,6.0,42        ,186187,"177,243,721",Adventure
